"id","name","pos","length","function_name","table_name","field_name"
"__export__.onpoint_seba_spec_257_8f304036","block1_ch4_set_water_counter","179","4","read_data","logger_channels","water_counter"
"__export__.onpoint_seba_spec_258_dbbee6c1","block1_ch4_set_min_real","183","4","read_data","logger_channels","min_real"
"__export__.onpoint_seba_spec_259_65d34ba8","block1_ch4_set_max_real","187","4","read_data","logger_channels","max_real"
"__export__.onpoint_seba_spec_260_0f0af67f","block1_ch4_set_sensor_id","191","2","read_data","logger_channels","sensor_id"
"__export__.onpoint_seba_spec_261_1d057e7d","block1_ch4_set_min_input","193","2","read_data","logger_channels","min_input"
"__export__.onpoint_seba_spec_262_08ad8346","block1_ch4_set_max_input","195","2","read_data","logger_channels","max_input"
"__export__.onpoint_seba_spec_263_ec43ab9e","block1_ch4_set_unit_id","197","2","read_data","logger_channels","unit_id"
"__export__.onpoint_seba_spec_264_686c0e07","block1_ch4_set_user_text","199","5","read_data","logger_channels","unit_id_text"
"__export__.onpoint_seba_spec_265_4cd30bba","block1_ch4_set_press_treshold","204","2","read_data","logger_channels","press_treshold"
"__export__.onpoint_seba_spec_266_966c473c","block1_ch4_set_corr_start_volt","206","2","read_data","logger_channels","corr_start_voltage"
"__export__.onpoint_seba_spec_267_4540d161","block1_ch4_set_corr_end_volt","208","2","read_data","logger_channels","corr_end_voltage"
"__export__.onpoint_seba_spec_268_f1002ea3","block1_ch4_set_corr_start_current","210","2","read_data","logger_channels","corr_start_current"
"__export__.onpoint_seba_spec_269_e28e16b5","block1_ch4_set_corr_end_current","212","2","read_data","logger_channels","corr_end_current"
"__export__.onpoint_seba_spec_270_54bedf4f","block1_ch4_set_reserved","214","8","read_data","logger_channels","reserved"
"__export__.onpoint_seba_spec_271_02219589","block1_system_settings","222","4","read_data","logger_headers","system_settings"
"__export__.onpoint_seba_spec_272_a1073cee","block1_variant","226","2","read_data","logger_headers","variant"
"__export__.onpoint_seba_spec_273_1174e3a3","block1_mom_write_page","228","2","read_data","logger_headers","mom_write_page"
"__export__.onpoint_seba_spec_274_0477f820","block1_mom_read_page","230","2","read_data","logger_headers","mom_read_page"
"__export__.onpoint_seba_spec_275_f9deceff","block2_length","232","1","read_data","NULL","length"
"__export__.onpoint_seba_spec_276_e8e971e5","block2_code","233","1","read_data","NULL","code"
